field,raw_dtype,n_unique,missing_fraction,feature_block,source_or_derivation,predictive_input
chemical_id,object,801,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
chemical_name,object,801,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
casrn,int64,801,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
dtxsid,object,798,0.003469963131641726,"identifier, target, or audit-only field",DSSTox/CompTox structure linkage,False
smiles,object,798,0.0,chemical fingerprint,DSSTox/CompTox structure linkage,True
inchikey,object,790,0.006506180871828237,"identifier, target, or audit-only field",DSSTox/CompTox structure linkage,False
endpoint,object,3,0.0,experimental context,ECOTOX study/taxon context curation,True
endpoint_code,object,2,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
effect,object,9,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
measurement,object,30,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
species,object,174,0.0,species/taxonomy,ECOTOX study/taxon context curation,True
common_name,object,103,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
phylum,object,8,0.00043374539145521576,species/taxonomy,ECOTOX study/taxon context curation,True
class_name,object,12,0.0013012361743656475,species/taxonomy,ECOTOX study/taxon context curation,True
order,object,30,0.0013012361743656475,species/taxonomy,ECOTOX study/taxon context curation,True
family,object,56,0.0013012361743656475,species/taxonomy,ECOTOX study/taxon context curation,True
genus,object,105,0.0015181088700932553,species/taxonomy,ECOTOX study/taxon context curation,True
species_group,object,9,0.0,"identifier, target, or audit-only field",ECOTOX study/taxon context curation,False
duration_h,float64,11,0.0,experimental context,ECOTOX study/taxon context curation,True
medium,object,3,0.0,experimental context,ECOTOX study/taxon context curation,True
temperature_c,float64,105,0.5617002819345045,experimental context,ECOTOX study/taxon context curation,True
ph,float64,107,0.8074170461938842,experimental context,ECOTOX study/taxon context curation,True
ctx_hardness,float64,140,0.8828887443070917,experimental context,ECOTOX study/taxon context curation,True
study_year,int64,53,0.0,"identifier, target, or audit-only field",ECOTOX study/taxon context curation,False
doi,object,349,0.623942745608328,"identifier, target, or audit-only field",ECOTOX record metadata,False
source,object,1,0.0,"identifier, target, or audit-only field",ECOTOX record metadata,False
structure_source,object,3,0.0,"identifier, target, or audit-only field",DSSTox/CompTox structure linkage,False
chemical_class,object,29,0.0,"identifier, target, or audit-only field",curation and audit derivation,False
toxicity_value,float64,2088,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
toxicity_unit,object,17,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
molar_concentration,float64,4249,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
target_log_molar,float64,4247,0.0,"identifier, target, or audit-only field",ECOTOX value/end-point curation,False
physchem_mol_wt,float64,701,0.0,physicochemical descriptor,DSSTox/CompTox or PubChem physicochemical linkage,True
physchem_logp,float64,752,0.0,physicochemical descriptor,RDKit MolLogP structure derivation,True
mech_cytotox_hit_rate,float64,161,0.21470396877033182,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_cytotox_lower_log10_um,float64,214,0.17740186510518327,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_cytotox_lower_um,float64,214,0.17740186510518327,bioactivity proxy,invitrodb/ToxCast summary linkage,True
mech_cytotox_median_log10_um,float64,214,0.17740186510518327,bioactivity proxy,invitrodb/ToxCast summary linkage,True
