chemical_name,representative_casrn,reference_codes,endpoint_count,min_year,max_year
"(R)-3-chloropropane-1,2-diol",57090-45-6,ECHA endpoint-availability sample,3,,
"Tin, dibutylbis(2,4-pentanedionato-kO2,kO4)-,",22673-19-4,ECHA endpoint-availability sample,3,,
"1,2-diacetoxybut-3-ene",18085-02-4,ECHA endpoint-availability sample,3,,
Essential oil of Cedarwood Texas obtained from the wood of Juniperus mexicana (Cupressaceae) by distillation,91722-61-1,ECHA endpoint-availability sample,3,,
2-phenylhexanenitrile,3508-98-3,ECHA endpoint-availability sample,3,,
"Fatty acids, C16-18 (even-numbered), 1,2-ethanediylbis(oxy-2,1-ethanediyl) esters",91031-45-7,ECHA endpoint-availability sample,3,,
"Reaction mass of 2-dodec-1-enylbutanedioic acid, 4-methyl ester zinc salt and 2-undec-1-enylbutanedioic acid, 4-methyl ester zinc salt",26655-44-7,ECHA endpoint-availability sample,3,,
"5-[(4-chloro-2-nitrophenyl)diazenyl]-1-ethyl-6-hydroxy-4-methyl-2-oxo-1,2-dihydropyridine-3-carbonitrile",70528-90-4,ECHA endpoint-availability sample,3,,
"N,N,N',N',-tetrakis(2-hydroxyethyl)hexanediamide",6334-25-4,ECHA endpoint-availability sample,3,,
"2-(2H-benzotriazol-2-yl)-4,6-bis(1-methyl-1-phenylethyl)phenol",70321-86-7,ECHA endpoint-availability sample,3,,
"Fatty acids, soya, epoxidized, Me esters",68082-35-9,ECHA endpoint-availability sample,3,,
"N-C12-18-alkyl-propane-1,3-diamine",68155-37-3,ECHA endpoint-availability sample,3,,
"nonene, branched",97280-95-0,ECHA endpoint-availability sample,3,,
"Alcohols, C12-18(even numbered), ethoxylated < 2.5 EO, sulfates, sodium salt",68081-91-4,ECHA endpoint-availability sample,3,,
"Fatty acids, tallow, zinc salts",68440-34-6,ECHA endpoint-availability sample,3,,
N-butylphosphorothioic triamide,94317-64-3,ECHA endpoint-availability sample,3,,
Methyl tetrahydro-2-furancarboxylate,37443-42-8,ECHA endpoint-availability sample,3,,
Magnesium Potassium Titanium Oxide,39290-90-9,ECHA endpoint-availability sample,3,,
"Alcohols, C12-14, ethoxylated, < 2.5 EO",68439-50-9,ECHA endpoint-availability sample,3,,
1-((5-amino-2-methylpentyl)amino)-3-(o-tolyloxy)propan-2-ol,90480-76-5,ECHA endpoint-availability sample,3,,
"Trisodium 3-amino-4-[4-[4-(2-(2-ethenylsulfonylethoxy)ethylamino)-6-fluoro-1,3,5-triazine-2-ylamino]-2-sulfophenylazo]-5-hydroxynaphthalene-2,7-disulfonate",212652-59-0,ECHA endpoint-availability sample,3,,
"Cement, alumina, chemicals",65997-16-2,ECHA endpoint-availability sample,3,,
"C7-9-(branched)-alkyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propanoate",125643-61-0,ECHA endpoint-availability sample,3,,
"9-Octadecenoic acid (Z)-, isooctyl ester, reaction products with glycerol trioleate and sulfur",96152-40-8,ECHA endpoint-availability sample,3,,
"Lubricating oils (petroleum), C18-40, solvent-dewaxed hydrocracked distillate-based",94733-15-0,ECHA endpoint-availability sample,3,,
