case_id,chemical_id,chemical_name,casrn,dtxsid,smiles,inchikey,endpoint,endpoint_code,effect,measurement,species,common_name,phylum,class_name,order,family,genus,species_group,duration_h,medium,temperature_c,ph,ctx_hardness,study_year,source,structure_source,chemical_class,toxicity_value,toxicity_unit,molar_concentration,target_log_molar,physchem_mol_wt,physchem_logp,known_ood,is_hard_ood,case_row_count,document_count,asset_ids,document_keys,document_urls,case_spread_log_molar,species_canon,regulatory_species,regulatory_taxon,study_type,nominal_or_measured,conc_based_on,basis_for_effect,freshwater_keyword_flag,standard_species_flag,mech_cytotox_hit_rate,mech_cytotox_lower_log10_um,mech_cytotox_lower_um,mech_cytotox_median_log10_um,mech_cytotox_median_um,mech_cytotox_nhit,mech_cytotox_ntested,mech_feature_count,mech_h295r_active_endpoint_count,mech_h295r_andr_max_abs,mech_h295r_bmd_min,mech_h295r_cort_max_abs,mech_h295r_cortic_max_abs,mech_h295r_critical_val,mech_h295r_doc_max_abs,mech_h295r_e1_max_abs,mech_h295r_e2_max_abs,mech_h295r_maxmmd_max,mech_h295r_mean_abs,mech_h295r_mmd_max,mech_h295r_ohpreg_max_abs,mech_h295r_ohprog_max_abs,mech_h295r_prog_max_abs,mech_h295r_testo_max_abs,mech_h295r_x11dcort_max_abs,mech_lit_ar_agonist,mech_lit_ar_antagonist,mech_lit_ar_binding,mech_lit_er_agonist,mech_lit_er_antagonist,mech_lit_er_binding,mech_toxcast_ar_auc_agonist,mech_toxcast_ar_auc_antagonist,mech_toxcast_er_auc_agonist,mech_toxcast_er_auc_antagonist,external_subset
1072957-71-1__daphnia_48h_ec50__Daphnia magna,1072957-71-1,Benzovindiflupyr,1072957-71-1,,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,CCCGEKHKTPTUHJ-UHFFFAOYNA-N,daphnia_48h_ec50,EC50,ITX,IMBL,Daphnia magna,Water Flea,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Crustaceans;Standard Test Species,48.0,FW,20.0,7.6,165.7,,echa_pmra_main,dsstox_casrn,unclassified,2.1344449187655363e-07,M,2.1344449187655363e-07,-6.670715048067736,398.23,5.273800000000003,False,False,1,1,0ad06431-de0d-4801-be59-655a6e5be697,IUC5-4f3465e0-d35b-4b14-89d7-15df875b9ffa_4c32be96-9c95-4098-ac5d-16773793ffe1,https://chem.echa.europa.eu/html-pages-prod/0ad06431-de0d-4801-be59-655a6e5be697/documents/IUC5-4f3465e0-d35b-4b14-89d7-15df875b9ffa_4c32be96-9c95-4098-ac5d-16773793ffe1.html,0.0,Daphnia magna,Daphnia magna,freshwater aquatic invertebrates,static,meas. (geom. mean),test mat.,mobility,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected
1072957-71-1__fish_96h_lc50__Cyprinus carpio,1072957-71-1,Benzovindiflupyr,1072957-71-1,,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,CCCGEKHKTPTUHJ-UHFFFAOYNA-N,fish_96h_lc50,LC50,MOR,MORT,Cyprinus carpio,Common Carp,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Fish;Standard Test Species,96.0,FW,24.2,7.55,75.6,,echa_pmra_main,dsstox_casrn,unclassified,8.788890841975734e-09,M,8.788890841975734e-09,-8.056065929431753,398.23,5.273800000000003,False,False,1,1,0ad06431-de0d-4801-be59-655a6e5be697,IUC5-aa9546c4-89fa-40a9-a3c1-df3ae47f37cc_4c32be96-9c95-4098-ac5d-16773793ffe1,https://chem.echa.europa.eu/html-pages-prod/0ad06431-de0d-4801-be59-655a6e5be697/documents/IUC5-aa9546c4-89fa-40a9-a3c1-df3ae47f37cc_4c32be96-9c95-4098-ac5d-16773793ffe1.html,0.0,Cyprinus carpio,Cyprinus carpio,freshwater fish,flow-through,meas. (arithm. mean),test mat.,mortality (fish),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected
1072957-71-1__fish_96h_lc50__Oncorhynchus mykiss,1072957-71-1,Benzovindiflupyr,1072957-71-1,,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,CCCGEKHKTPTUHJ-UHFFFAOYNA-N,fish_96h_lc50,LC50,MOR,MORT,Oncorhynchus mykiss,Rainbow Trout,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Fish;Standard Test Species;U.S. Threatened and Endangered Species,96.0,FW,13.4,7.55,66.0,,echa_pmra_main,dsstox_casrn,unclassified,2.2851116189136923e-08,M,2.2851116189136923e-08,-7.641092581460935,398.23,5.273800000000003,False,False,1,1,0ad06431-de0d-4801-be59-655a6e5be697,IUC5-7ec2d4f3-6222-43b5-a426-2210e2a3f686_4c32be96-9c95-4098-ac5d-16773793ffe1,https://chem.echa.europa.eu/html-pages-prod/0ad06431-de0d-4801-be59-655a6e5be697/documents/IUC5-7ec2d4f3-6222-43b5-a426-2210e2a3f686_4c32be96-9c95-4098-ac5d-16773793ffe1.html,0.0,Oncorhynchus mykiss,Oncorhynchus mykiss (previous name: Salmo gairdneri),freshwater fish,flow-through,meas. (arithm. mean),test mat.,mortality (fish),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected
1072957-71-1__fish_96h_lc50__Pimephales promelas,1072957-71-1,Benzovindiflupyr,1072957-71-1,,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,CCCGEKHKTPTUHJ-UHFFFAOYNA-N,fish_96h_lc50,LC50,MOR,MORT,Pimephales promelas,Fathead Minnow,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,Fish;Standard Test Species,96.0,FW/,24.7,7.6,45.1,,echa_pmra_main,dsstox_casrn,unclassified,1.1802224844938856e-08,M,1.1802224844938856e-08,-7.928036115846311,398.23,5.273800000000003,False,False,1,1,0ad06431-de0d-4801-be59-655a6e5be697,IUC5-a178667e-a753-4bdb-9266-32f7f3b521cd_4c32be96-9c95-4098-ac5d-16773793ffe1,https://chem.echa.europa.eu/html-pages-prod/0ad06431-de0d-4801-be59-655a6e5be697/documents/IUC5-a178667e-a753-4bdb-9266-32f7f3b521cd_4c32be96-9c95-4098-ac5d-16773793ffe1.html,0.0,Pimephales promelas,Pimephales promelas,freshwater fish,flow-through,meas. (arithm. mean),test mat.,mortality (fish),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected
137-30-4__algae_72_96h_ec50__Raphidocelis subcapitata,137-30-4,Ziram,137-30-4,,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,DUBNHZYBDBBJHD-UHFFFAOYSA-L,algae_72_96h_ec50,EC50,POP,ABND,Raphidocelis subcapitata,Green Algae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Raphidocelis,Algae;Standard Test Species,72.0,FW,24.0,7.5,,,echa_pmra_main,dsstox_casrn,unclassified,2.714428665823661e-07,M,2.714428665823661e-07,-6.566321566955888,305.8,0.7571000000000002,False,False,2,1,0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433,IUC5-38a37965-894e-458d-b732-4bc77078cf37_79b92978-ae46-4304-b6dc-5d35884907a5,https://chem.echa.europa.eu/html-pages-prod/0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433/documents/IUC5-38a37965-894e-458d-b732-4bc77078cf37_79b92978-ae46-4304-b6dc-5d35884907a5.html,0.108023878958571,Raphidocelis subcapitata,"Raphidocelis subcapitata (previous names: Pseudokirchneriella subcapitata, Selenastrum capricornutum)",aquatic algae and cyanobacteria,static,meas. (geom. mean),test mat.,growth rate,False,True,0.9770114942528736,0.146077863521643,1.39983827341816,0.67167852357304,4.6954640908362,85.0,87.0,12.0,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.404,0.0,0.0644,pmra_selected
137-30-4__daphnia_48h_ec50__Daphnia magna,137-30-4,Ziram,137-30-4,,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,DUBNHZYBDBBJHD-UHFFFAOYSA-L,daphnia_48h_ec50,EC50,ITX,IMBL,Daphnia magna,Water Flea,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Crustaceans;Standard Test Species,48.0,FW,20.0,7.6,165.7,,echa_pmra_main,dsstox_casrn,unclassified,3.251746996639912e-07,M,3.251746996639912e-07,-6.487883252203931,305.8,0.7571000000000002,False,False,2,2,0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433,IUC5-a5349b1a-33f0-4d7b-a60e-8f0bc50d0d01_79b92978-ae46-4304-b6dc-5d35884907a5; fba45335-2ece-4a8e-8092-e834d1d4221e_79b92978-ae46-4304-b6dc-5d35884907a5,https://chem.echa.europa.eu/html-pages-prod/0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433/documents/IUC5-a5349b1a-33f0-4d7b-a60e-8f0bc50d0d01_79b92978-ae46-4304-b6dc-5d35884907a5.html; https://chem.echa.europa.eu/html-pages-prod/0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433/documents/fba45335-2ece-4a8e-8092-e834d1d4221e_79b92978-ae46-4304-b6dc-5d35884907a5.html,0.6326259829935656,Daphnia magna,Daphnia magna,freshwater aquatic invertebrates,flow-through,meas. (arithm. mean),act. ingr.,mobility,True,True,0.9770114942528736,0.146077863521643,1.39983827341816,0.67167852357304,4.6954640908362,85.0,87.0,12.0,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.404,0.0,0.0644,pmra_selected
137-30-4__fish_96h_lc50__Lepomis macrochirus,137-30-4,Ziram,137-30-4,,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,DUBNHZYBDBBJHD-UHFFFAOYSA-L,fish_96h_lc50,LC50,MOR,MORT,Lepomis macrochirus,Bluegill,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Fish;Standard Test Species,96.0,FW,23.0,7.83,21.0,,echa_pmra_main,dsstox_casrn,unclassified,2.4688798022468104e-07,M,2.4688798022468104e-07,-6.607500053240056,305.8,0.7571000000000002,False,False,2,2,0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433,IUC5-1cb28576-076e-409e-97cc-09184253e6b8_79b92978-ae46-4304-b6dc-5d35884907a5; IUC5-9b33fa60-5585-4ae5-bce7-4269ef77da74_79b92978-ae46-4304-b6dc-5d35884907a5,https://chem.echa.europa.eu/html-pages-prod/0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433/documents/IUC5-1cb28576-076e-409e-97cc-09184253e6b8_79b92978-ae46-4304-b6dc-5d35884907a5.html; https://chem.echa.europa.eu/html-pages-prod/0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433/documents/IUC5-9b33fa60-5585-4ae5-bce7-4269ef77da74_79b92978-ae46-4304-b6dc-5d35884907a5.html,1.7558748556724917,Lepomis macrochirus,Lepomis macrochirus,freshwater fish,flow-through,meas. (arithm. mean),act. ingr.,mortality (fish),True,True,0.9770114942528736,0.146077863521643,1.39983827341816,0.67167852357304,4.6954640908362,85.0,87.0,12.0,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.404,0.0,0.0644,pmra_selected
137-30-4__fish_96h_lc50__Oncorhynchus mykiss,137-30-4,Ziram,137-30-4,,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,DUBNHZYBDBBJHD-UHFFFAOYSA-L,fish_96h_lc50,LC50,MOR,MORT,Oncorhynchus mykiss,Rainbow Trout,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Fish;Standard Test Species;U.S. Threatened and Endangered Species,96.0,FW,13.4,7.55,66.0,,echa_pmra_main,dsstox_casrn,unclassified,1.160889470241988e-06,M,1.160889470241988e-06,-5.935209128021207,305.8,0.7571000000000002,False,False,3,2,0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433,IUC5-cba1c5fb-8382-40f5-bed1-7775da8999de_79b92978-ae46-4304-b6dc-5d35884907a5; f51319ec-257a-4c7a-b1fd-0da31c63645a_79b92978-ae46-4304-b6dc-5d35884907a5,https://chem.echa.europa.eu/html-pages-prod/0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433/documents/IUC5-cba1c5fb-8382-40f5-bed1-7775da8999de_79b92978-ae46-4304-b6dc-5d35884907a5.html; https://chem.echa.europa.eu/html-pages-prod/0ea7d0f1-daa8-4682-a0e4-df7c2bb3a433/documents/f51319ec-257a-4c7a-b1fd-0da31c63645a_79b92978-ae46-4304-b6dc-5d35884907a5.html,0.7272031499131604,Oncorhynchus mykiss,Oncorhynchus mykiss (previous name: Salmo gairdneri),freshwater fish,flow-through,meas. (arithm. mean),test mat.,mortality (fish),True,True,0.9770114942528736,0.146077863521643,1.39983827341816,0.67167852357304,4.6954640908362,85.0,87.0,12.0,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.404,0.0,0.0644,pmra_selected
330459-31-9__algae_72_96h_ec50__Raphidocelis subcapitata,330459-31-9,Tioxazafen,330459-31-9,,O1N=C(N=C1C1=CC=CS1)C1=CC=CC=C1,IHNSIFFSNUQGQN-UHFFFAOYSA-N,algae_72_96h_ec50,EC50,POP,ABND,Raphidocelis subcapitata,Green Algae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Raphidocelis,Algae;Standard Test Species,84.0,FW,24.0,7.5,,,echa_pmra_main,dsstox_casrn,unclassified,4.0701168438557677e-07,M,4.0701168438557677e-07,-6.390393122982786,228.27,3.4651000000000014,False,False,2,1,786d5f33-1372-46a5-9314-c843adcc79d0,IUC5-9b13af6d-c209-4894-a06a-34a07fc4b20d_4927d106-cd4f-4d63-97f8-69cd34f7280e,https://chem.echa.europa.eu/html-pages-prod/786d5f33-1372-46a5-9314-c843adcc79d0/documents/IUC5-9b13af6d-c209-4894-a06a-34a07fc4b20d_4927d106-cd4f-4d63-97f8-69cd34f7280e.html,0.097955246922706,Raphidocelis subcapitata,"Raphidocelis subcapitata (previous names: Pseudokirchneriella subcapitata, Selenastrum capricornutum)",aquatic algae and cyanobacteria,static,meas. (geom. mean),act. ingr.,biomass,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected
330459-31-9__fish_96h_lc50__Oncorhynchus mykiss,330459-31-9,Tioxazafen,330459-31-9,,O1N=C(N=C1C1=CC=CS1)C1=CC=CC=C1,IHNSIFFSNUQGQN-UHFFFAOYSA-N,fish_96h_lc50,LC50,MOR,MORT,Oncorhynchus mykiss,Rainbow Trout,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Fish;Standard Test Species;U.S. Threatened and Endangered Species,96.0,FW,13.4,7.55,66.0,,echa_pmra_main,dsstox_casrn,unclassified,3.32939063389845e-07,M,3.32939063389845e-07,-6.477635246539423,228.27,3.4651000000000014,False,False,1,1,786d5f33-1372-46a5-9314-c843adcc79d0,IUC5-60179903-490d-48d6-b3d2-34b823c6cc95_4927d106-cd4f-4d63-97f8-69cd34f7280e,https://chem.echa.europa.eu/html-pages-prod/786d5f33-1372-46a5-9314-c843adcc79d0/documents/IUC5-60179903-490d-48d6-b3d2-34b823c6cc95_4927d106-cd4f-4d63-97f8-69cd34f7280e.html,0.0,Oncorhynchus mykiss,Oncorhynchus mykiss (previous name: Salmo gairdneri),freshwater fish,semi-static,meas. (arithm. mean),act. ingr.,mortality (fish),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected
51-03-6__algae_72_96h_ec50__Desmodesmus subspicatus,51-03-6,Piperonyl butoxide,51-03-6,,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,FIPWRIJSWJWJAI-UHFFFAOYSA-N,algae_72_96h_ec50,EC50,POP,ABND,Desmodesmus subspicatus,Green Algae,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Desmodesmus,Algae;Standard Test Species,72.0,FW,24.0,7.3,,,echa_pmra_main,dsstox_casrn,unclassified,2.9251515760362145e-06,M,2.9251515760362145e-06,-5.533851624648287,338.444,3.7177000000000016,False,False,3,1,a02cf2aa-b45c-41e5-9890-81046d89d7c1,IUC5-29350744-ec88-4c62-a586-f8fafe41cc0f_1771999e-ceb9-41d3-b1ab-d92abea29f4c,https://chem.echa.europa.eu/html-pages-prod/a02cf2aa-b45c-41e5-9890-81046d89d7c1/documents/IUC5-29350744-ec88-4c62-a586-f8fafe41cc0f_1771999e-ceb9-41d3-b1ab-d92abea29f4c.html,0.298467778899381,Desmodesmus subspicatus,Desmodesmus subspicatus (previous name: Scenedesmus subspicatus),aquatic algae and cyanobacteria,static,nominal,test mat.,biomass,False,True,0.1494252873563218,0.722657453740215,5.28028609190537,1.24825811379161,17.7116129803641,13.0,87.0,31.0,1.0,0.417258861650884,3.77793375691131,0.586505977878228,1.13226821549951,1.64273648916556,0.977587840841251,0.730611215542499,0.58174936614144,3.94170530751549,0.2822131436125206,3.94170530751549,0.804511041809953,0.559458253297397,0.360402242701998,0.574736275052111,0.413128079449935,,,,0.0,0.0,0.0,0.0,0.0,0.00231,0.0,pmra_selected
