case_id,chemical_id,chemical_name,casrn,dtxsid,smiles,inchikey,endpoint,endpoint_code,effect,measurement,species,common_name,phylum,class_name,order,family,genus,species_group,duration_h,medium,temperature_c,ph,ctx_hardness,study_year,source,structure_source,chemical_class,toxicity_value,toxicity_unit,molar_concentration,target_log_molar,physchem_mol_wt,physchem_logp,known_ood,is_hard_ood,case_row_count,document_count,asset_ids,document_keys,document_urls,case_spread_log_molar,species_canon,regulatory_species,regulatory_taxon,study_type,nominal_or_measured,conc_based_on,basis_for_effect,freshwater_keyword_flag,standard_species_flag,mech_cytotox_hit_rate,mech_cytotox_lower_log10_um,mech_cytotox_lower_um,mech_cytotox_median_log10_um,mech_cytotox_median_um,mech_cytotox_nhit,mech_cytotox_ntested,mech_feature_count,mech_h295r_active_endpoint_count,mech_h295r_andr_max_abs,mech_h295r_bmd_min,mech_h295r_cort_max_abs,mech_h295r_cortic_max_abs,mech_h295r_critical_val,mech_h295r_doc_max_abs,mech_h295r_e1_max_abs,mech_h295r_e2_max_abs,mech_h295r_maxmmd_max,mech_h295r_mean_abs,mech_h295r_mmd_max,mech_h295r_ohpreg_max_abs,mech_h295r_ohprog_max_abs,mech_h295r_prog_max_abs,mech_h295r_testo_max_abs,mech_h295r_x11dcort_max_abs,mech_lit_ar_agonist,mech_lit_ar_antagonist,mech_lit_ar_binding,mech_lit_er_agonist,mech_lit_er_antagonist,mech_lit_er_binding,mech_toxcast_ar_auc_agonist,mech_toxcast_ar_auc_antagonist,mech_toxcast_er_auc_agonist,mech_toxcast_er_auc_antagonist,external_subset,source_case_id,external_source_cohort,external_source_status,source_record_id,summary_value_mg_l,source_value_corrected,source_report,source_pages,source_quality_status,source_quality_flags,source_url,summary_page,summary_row_on_page
echa_pmra__1072957-71-1__daphnia_48h_ec50__Daphnia magna,1072957-71-1,Benzovindiflupyr,1072957-71-1,,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,CCCGEKHKTPTUHJ-UHFFFAOYNA-N,daphnia_48h_ec50,EC50,ITX,IMBL,Daphnia magna,Water Flea,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Crustaceans;Standard Test Species,48.0,FW,20.0,7.6,165.7,,echa_pmra_main,dsstox_casrn,unclassified,2.1344449187655366e-07,M,2.1344449187655366e-07,-6.670715048067736,398.23,5.273800000000003,False,False,1,1,0ad06431-de0d-4801-be59-655a6e5be697,IUC5-4f3465e0-d35b-4b14-89d7-15df875b9ffa_4c32be96-9c95-4098-ac5d-16773793ffe1,https://chem.echa.europa.eu/html-pages-prod/0ad06431-de0d-4801-be59-655a6e5be697/documents/IUC5-4f3465e0-d35b-4b14-89d7-15df875b9ffa_4c32be96-9c95-4098-ac5d-16773793ffe1.html,0.0,Daphnia magna,Daphnia magna,freshwater aquatic invertebrates,static,meas. (geom. mean),test mat.,mobility,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected,1072957-71-1__daphnia_48h_ec50__Daphnia magna,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
echa_pmra__1072957-71-1__fish_96h_lc50__Cyprinus carpio,1072957-71-1,Benzovindiflupyr,1072957-71-1,,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,CCCGEKHKTPTUHJ-UHFFFAOYNA-N,fish_96h_lc50,LC50,MOR,MORT,Cyprinus carpio,Common Carp,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,Fish;Standard Test Species,96.0,FW,24.2,7.55,75.6,,echa_pmra_main,dsstox_casrn,unclassified,8.788890841975734e-09,M,8.788890841975734e-09,-8.056065929431753,398.23,5.273800000000003,False,False,1,1,0ad06431-de0d-4801-be59-655a6e5be697,IUC5-aa9546c4-89fa-40a9-a3c1-df3ae47f37cc_4c32be96-9c95-4098-ac5d-16773793ffe1,https://chem.echa.europa.eu/html-pages-prod/0ad06431-de0d-4801-be59-655a6e5be697/documents/IUC5-aa9546c4-89fa-40a9-a3c1-df3ae47f37cc_4c32be96-9c95-4098-ac5d-16773793ffe1.html,0.0,Cyprinus carpio,Cyprinus carpio,freshwater fish,flow-through,meas. (arithm. mean),test mat.,mortality (fish),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected,1072957-71-1__fish_96h_lc50__Cyprinus carpio,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
echa_pmra__1072957-71-1__fish_96h_lc50__Oncorhynchus mykiss,1072957-71-1,Benzovindiflupyr,1072957-71-1,,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,CCCGEKHKTPTUHJ-UHFFFAOYNA-N,fish_96h_lc50,LC50,MOR,MORT,Oncorhynchus mykiss,Rainbow Trout,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Fish;Standard Test Species;U.S. Threatened and Endangered Species,96.0,FW,13.4,7.55,66.0,,echa_pmra_main,dsstox_casrn,unclassified,2.2851116189136923e-08,M,2.2851116189136923e-08,-7.641092581460935,398.23,5.273800000000003,False,False,1,1,0ad06431-de0d-4801-be59-655a6e5be697,IUC5-7ec2d4f3-6222-43b5-a426-2210e2a3f686_4c32be96-9c95-4098-ac5d-16773793ffe1,https://chem.echa.europa.eu/html-pages-prod/0ad06431-de0d-4801-be59-655a6e5be697/documents/IUC5-7ec2d4f3-6222-43b5-a426-2210e2a3f686_4c32be96-9c95-4098-ac5d-16773793ffe1.html,0.0,Oncorhynchus mykiss,Oncorhynchus mykiss (previous name: Salmo gairdneri),freshwater fish,flow-through,meas. (arithm. mean),test mat.,mortality (fish),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected,1072957-71-1__fish_96h_lc50__Oncorhynchus mykiss,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
echa_pmra__1072957-71-1__fish_96h_lc50__Pimephales promelas,1072957-71-1,Benzovindiflupyr,1072957-71-1,,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,CCCGEKHKTPTUHJ-UHFFFAOYNA-N,fish_96h_lc50,LC50,MOR,MORT,Pimephales promelas,Fathead Minnow,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,Fish;Standard Test Species,96.0,FW/,24.7,7.6,45.1,,echa_pmra_main,dsstox_casrn,unclassified,1.1802224844938856e-08,M,1.1802224844938856e-08,-7.928036115846311,398.23,5.273800000000003,False,False,1,1,0ad06431-de0d-4801-be59-655a6e5be697,IUC5-a178667e-a753-4bdb-9266-32f7f3b521cd_4c32be96-9c95-4098-ac5d-16773793ffe1,https://chem.echa.europa.eu/html-pages-prod/0ad06431-de0d-4801-be59-655a6e5be697/documents/IUC5-a178667e-a753-4bdb-9266-32f7f3b521cd_4c32be96-9c95-4098-ac5d-16773793ffe1.html,0.0,Pimephales promelas,Pimephales promelas,freshwater fish,flow-through,meas. (arithm. mean),test mat.,mortality (fish),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected,1072957-71-1__fish_96h_lc50__Pimephales promelas,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
echa_pmra__330459-31-9__algae_72_96h_ec50__Raphidocelis subcapitata,330459-31-9,Tioxazafen,330459-31-9,,O1N=C(N=C1C1=CC=CS1)C1=CC=CC=C1,IHNSIFFSNUQGQN-UHFFFAOYSA-N,algae_72_96h_ec50,EC50,POP,ABND,Raphidocelis subcapitata,Green Algae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Raphidocelis,Algae;Standard Test Species,84.0,FW,24.0,7.5,,,echa_pmra_main,dsstox_casrn,unclassified,4.070116843855768e-07,M,4.070116843855768e-07,-6.390393122982786,228.27,3.4651000000000014,False,False,2,1,786d5f33-1372-46a5-9314-c843adcc79d0,IUC5-9b13af6d-c209-4894-a06a-34a07fc4b20d_4927d106-cd4f-4d63-97f8-69cd34f7280e,https://chem.echa.europa.eu/html-pages-prod/786d5f33-1372-46a5-9314-c843adcc79d0/documents/IUC5-9b13af6d-c209-4894-a06a-34a07fc4b20d_4927d106-cd4f-4d63-97f8-69cd34f7280e.html,0.097955246922706,Raphidocelis subcapitata,"Raphidocelis subcapitata (previous names: Pseudokirchneriella subcapitata, Selenastrum capricornutum)",aquatic algae and cyanobacteria,static,meas. (geom. mean),act. ingr.,biomass,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected,330459-31-9__algae_72_96h_ec50__Raphidocelis subcapitata,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
echa_pmra__330459-31-9__fish_96h_lc50__Oncorhynchus mykiss,330459-31-9,Tioxazafen,330459-31-9,,O1N=C(N=C1C1=CC=CS1)C1=CC=CC=C1,IHNSIFFSNUQGQN-UHFFFAOYSA-N,fish_96h_lc50,LC50,MOR,MORT,Oncorhynchus mykiss,Rainbow Trout,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Fish;Standard Test Species;U.S. Threatened and Endangered Species,96.0,FW,13.4,7.55,66.0,,echa_pmra_main,dsstox_casrn,unclassified,3.32939063389845e-07,M,3.32939063389845e-07,-6.477635246539423,228.27,3.4651000000000014,False,False,1,1,786d5f33-1372-46a5-9314-c843adcc79d0,IUC5-60179903-490d-48d6-b3d2-34b823c6cc95_4927d106-cd4f-4d63-97f8-69cd34f7280e,https://chem.echa.europa.eu/html-pages-prod/786d5f33-1372-46a5-9314-c843adcc79d0/documents/IUC5-60179903-490d-48d6-b3d2-34b823c6cc95_4927d106-cd4f-4d63-97f8-69cd34f7280e.html,0.0,Oncorhynchus mykiss,Oncorhynchus mykiss (previous name: Salmo gairdneri),freshwater fish,semi-static,meas. (arithm. mean),act. ingr.,mortality (fish),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmra_selected,330459-31-9__fish_96h_lc50__Oncorhynchus mykiss,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
echa_pmra__51-03-6__algae_72_96h_ec50__Desmodesmus subspicatus,51-03-6,Piperonyl butoxide,51-03-6,,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,FIPWRIJSWJWJAI-UHFFFAOYSA-N,algae_72_96h_ec50,EC50,POP,ABND,Desmodesmus subspicatus,Green Algae,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Desmodesmus,Algae;Standard Test Species,72.0,FW,24.0,7.3,,,echa_pmra_main,dsstox_casrn,unclassified,2.9251515760362145e-06,M,2.9251515760362145e-06,-5.533851624648287,338.444,3.7177000000000016,False,False,3,1,a02cf2aa-b45c-41e5-9890-81046d89d7c1,IUC5-29350744-ec88-4c62-a586-f8fafe41cc0f_1771999e-ceb9-41d3-b1ab-d92abea29f4c,https://chem.echa.europa.eu/html-pages-prod/a02cf2aa-b45c-41e5-9890-81046d89d7c1/documents/IUC5-29350744-ec88-4c62-a586-f8fafe41cc0f_1771999e-ceb9-41d3-b1ab-d92abea29f4c.html,0.298467778899381,Desmodesmus subspicatus,Desmodesmus subspicatus (previous name: Scenedesmus subspicatus),aquatic algae and cyanobacteria,static,nominal,test mat.,biomass,False,True,0.1494252873563218,0.722657453740215,5.28028609190537,1.24825811379161,17.7116129803641,13.0,87.0,31.0,1.0,0.417258861650884,3.77793375691131,0.586505977878228,1.13226821549951,1.64273648916556,0.977587840841251,0.730611215542499,0.58174936614144,3.94170530751549,0.2822131436125206,3.94170530751549,0.804511041809953,0.559458253297397,0.360402242701998,0.574736275052111,0.413128079449935,,,,0.0,0.0,0.0,0.0,0.0,0.00231,0.0,pmra_selected,51-03-6__algae_72_96h_ec50__Desmodesmus subspicatus,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
echa_pmra__51-03-6__daphnia_48h_ec50__Daphnia magna,51-03-6,Piperonyl butoxide,51-03-6,,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,FIPWRIJSWJWJAI-UHFFFAOYSA-N,daphnia_48h_ec50,EC50,ITX,IMBL,Daphnia magna,Water Flea,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Crustaceans;Standard Test Species,48.0,FW,20.0,7.6,165.7,,echa_pmra_main,dsstox_casrn,unclassified,2.9753814515843067e-06,M,2.9753814515843067e-06,-5.52645734869222,338.444,3.7177000000000016,False,False,1,1,a02cf2aa-b45c-41e5-9890-81046d89d7c1,IUC5-4cf6b407-619d-4b87-9fdd-5ee8a3f0446b_1771999e-ceb9-41d3-b1ab-d92abea29f4c,https://chem.echa.europa.eu/html-pages-prod/a02cf2aa-b45c-41e5-9890-81046d89d7c1/documents/IUC5-4cf6b407-619d-4b87-9fdd-5ee8a3f0446b_1771999e-ceb9-41d3-b1ab-d92abea29f4c.html,0.0,Daphnia magna,Daphnia magna,freshwater aquatic invertebrates,semi-static,nominal,test mat.,mobility,True,True,0.1494252873563218,0.722657453740215,5.28028609190537,1.24825811379161,17.7116129803641,13.0,87.0,31.0,1.0,0.417258861650884,3.77793375691131,0.586505977878228,1.13226821549951,1.64273648916556,0.977587840841251,0.730611215542499,0.58174936614144,3.94170530751549,0.2822131436125206,3.94170530751549,0.804511041809953,0.559458253297397,0.360402242701998,0.574736275052111,0.413128079449935,,,,0.0,0.0,0.0,0.0,0.0,0.00231,0.0,pmra_selected,51-03-6__daphnia_48h_ec50__Daphnia magna,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
echa_pmra__51-03-6__fish_96h_lc50__Oncorhynchus mykiss,51-03-6,Piperonyl butoxide,51-03-6,,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,FIPWRIJSWJWJAI-UHFFFAOYSA-N,fish_96h_lc50,LC50,MOR,MORT,Oncorhynchus mykiss,Rainbow Trout,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Fish;Standard Test Species;U.S. Threatened and Endangered Species,96.0,FW,13.4,7.55,66.0,,echa_pmra_main,dsstox_casrn,unclassified,2.0889718830884884e-05,M,2.0889718830884884e-05,-4.680067405448938,338.444,3.7177000000000016,False,False,1,1,a02cf2aa-b45c-41e5-9890-81046d89d7c1,IUC5-6e022e3c-ddf9-4f77-a057-b4038ced4bde_1771999e-ceb9-41d3-b1ab-d92abea29f4c,https://chem.echa.europa.eu/html-pages-prod/a02cf2aa-b45c-41e5-9890-81046d89d7c1/documents/IUC5-6e022e3c-ddf9-4f77-a057-b4038ced4bde_1771999e-ceb9-41d3-b1ab-d92abea29f4c.html,0.0,Oncorhynchus mykiss,Oncorhynchus mykiss (previous name: Salmo gairdneri),freshwater fish,semi-static,nominal,test mat.,mortality (fish),True,True,0.1494252873563218,0.722657453740215,5.28028609190537,1.24825811379161,17.7116129803641,13.0,87.0,31.0,1.0,0.417258861650884,3.77793375691131,0.586505977878228,1.13226821549951,1.64273648916556,0.977587840841251,0.730611215542499,0.58174936614144,3.94170530751549,0.2822131436125206,3.94170530751549,0.804511041809953,0.559458253297397,0.360402242701998,0.574736275052111,0.413128079449935,,,,0.0,0.0,0.0,0.0,0.0,0.00231,0.0,pmra_selected,51-03-6__fish_96h_lc50__Oncorhynchus mykiss,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
echa_pmra__55406-53-6__algae_72_96h_ec50__Desmodesmus subspicatus,55406-53-6,Iodocarb,55406-53-6,,CCCCNC(=O)OCC#CI,WYVVKGNFXHOCQV-UHFFFAOYSA-N,algae_72_96h_ec50,EC50,POP,ABND,Desmodesmus subspicatus,Green Algae,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Desmodesmus,Algae;Standard Test Species,72.0,FW,24.0,7.3,,,echa_pmra_main,dsstox_casrn,unclassified,1.2147845075447526e-07,M,1.2147845075447526e-07,-6.915500755386246,281.093,1.9086,False,False,2,1,de06560d-d9a6-490c-9f23-fdc6027da82f,81599e2b-921c-412a-aeb1-21427bdf8d4a_4590887c-6f9f-4956-98f4-e2232e5b65a9,https://chem.echa.europa.eu/html-pages-prod/de06560d-d9a6-490c-9f23-fdc6027da82f/documents/81599e2b-921c-412a-aeb1-21427bdf8d4a_4590887c-6f9f-4956-98f4-e2232e5b65a9.html,0.3818531887785825,Desmodesmus subspicatus,Desmodesmus subspicatus (previous name: Scenedesmus subspicatus),aquatic algae and cyanobacteria,static,nominal,test mat.,biomass,False,True,0.7701149425287356,0.901274823604029,7.96663323264537,1.42687548365543,26.7224014224209,67.0,87.0,13.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.25,0.0,0.112,0.0,0.0283,pmra_selected,55406-53-6__algae_72_96h_ec50__Desmodesmus subspicatus,ECHA_PMRA_material_aligned,retained_after_material_identity_audit,,,,,,,,,,
